Date,Open,High,Low,Close
1716788434485000,68463.98792058838,undefined,undefined,undefined
1716788714826000,68534.00529791547,undefined,undefined,undefined
1716789048137000,68566.17039597157,undefined,undefined,undefined
1716789411615000,68531.97255795448,undefined,undefined,undefined
1716789754247000,68473.05223278447,undefined,undefined,undefined
1716789963298000,68522.04544829176,undefined,undefined,undefined
1716790231085000,68522.40800079597,undefined,undefined,undefined
1716790538204000,68582.4920422251,undefined,undefined,undefined
1716790839220000,68551.02303428523,undefined,undefined,undefined
1716791147280000,68511.27298571033,undefined,undefined,undefined
1716791498829000,68493.92745526304,undefined,undefined,undefined
1716791780824000,68487.53569280007,undefined,undefined,undefined
1716792119273000,68504.36460722366,undefined,undefined,undefined
1716792374250000,68456.67746899406,undefined,undefined,undefined
1716792679836000,68419.14170884318,undefined,undefined,undefined
1716792997949000,68399.49776651824,undefined,undefined,undefined
1716793348104000,68370.28897128478,undefined,undefined,undefined
1716793514794000,68407.01523603172,undefined,undefined,undefined
1716793810676000,68411.03874837297,undefined,undefined,undefined
1716794116263000,68388.11484484709,undefined,undefined,undefined
1716794446837000,68392.25030809935,undefined,undefined,undefined
1716794779503000,68455.09638064976,undefined,undefined,undefined
1716795094662000,68515.20954089456,undefined,undefined,undefined
1716795358915000,68531.19566660665,undefined,undefined,undefined
1716795635124000,68495.94462039291,undefined,undefined,undefined
1716795966988000,68707.19809546536,undefined,undefined,undefined
1716796258468000,68669.81335120498,undefined,undefined,undefined
1716796523210000,68624.55974793613,undefined,undefined,undefined
1716796873827000,68612.64017783185,undefined,undefined,undefined
1716797176735000,68697.49606305144,undefined,undefined,undefined
1716797427217000,68704.91901621586,undefined,undefined,undefined
1716797772494000,68790.68972245547,undefined,undefined,undefined
1716798064527000,68762.74291310627,undefined,undefined,undefined
1716798342957000,68754.56907901031,undefined,undefined,undefined
1716798641380000,68856.44052804516,undefined,undefined,undefined
1716798969712000,68682.837593671,undefined,undefined,undefined
1716799236362000,68746.23376401301,undefined,undefined,undefined
1716799537215000,68664.44185156745,undefined,undefined,undefined
1716799832315000,68571.9018160637,undefined,undefined,undefined
1716800189544000,68550.08066165367,undefined,undefined,undefined
1716800436574000,68614.984570064,undefined,undefined,undefined
1716800713107000,68597.79923592176,undefined,undefined,undefined
1716801009808000,68481.19935446094,undefined,undefined,undefined
1716801330313000,68522.3393282798,undefined,undefined,undefined
1716801778028000,68500.19414778754,undefined,undefined,undefined
1716801970742000,68542.46599173744,undefined,undefined,undefined
1716802275894000,68571.20062719678,undefined,undefined,undefined
1716802603287000,68565.49845390274,undefined,undefined,undefined
1716802829108000,68570.4751247984,undefined,undefined,undefined
1716803133289000,68556.6200705138,undefined,undefined,undefined
1716803441642000,68590.38363459827,undefined,undefined,undefined
1716803803249000,68588.95438960721,undefined,undefined,undefined
1716804073277000,68557.58056137219,undefined,undefined,undefined
1716804352158000,68491.09564486254,undefined,undefined,undefined
1716804623447000,68499.44450775174,undefined,undefined,undefined
1716804915787000,68495.72077459678,undefined,undefined,undefined
1716805236426000,68515.55117264441,undefined,undefined,undefined
1716805509455000,68513.69699978956,undefined,undefined,undefined
1716805810647000,68415.97496769951,undefined,undefined,undefined
1716806130083000,68404.54020055315,undefined,undefined,undefined
1716806455739000,68470.66028122796,undefined,undefined,undefined
1716806728859000,68450.7151639866,undefined,undefined,undefined
1716807051042000,68480.76079351164,undefined,undefined,undefined
1716807363654000,68531.33713160221,undefined,undefined,undefined
1716807622638000,68551.41969145917,undefined,undefined,undefined
1716808062321000,68619.51526066911,undefined,undefined,undefined
1716808340760000,68545.39796211319,undefined,undefined,undefined
1716808609600000,68594.2169703163,undefined,undefined,undefined
1716808924296000,68544.37224009327,undefined,undefined,undefined
1716809133611000,68520.57238291677,undefined,undefined,undefined
1716809496573000,68427.8914284807,undefined,undefined,undefined
1716809764835000,68448.93174214872,undefined,undefined,undefined
1716810035373000,68255.68313981738,undefined,undefined,undefined
1716810351542000,68309.72454861956,undefined,undefined,undefined
1716810682173000,68314.68146267845,undefined,undefined,undefined
1716810995114000,68417.08586774464,undefined,undefined,undefined
1716811271317000,68419.95546506553,undefined,undefined,undefined
1716811552798000,68386.2497271181,undefined,undefined,undefined
1716811871142000,68388.42273785811,undefined,undefined,undefined
1716812151170000,68378.27991749876,undefined,undefined,undefined
1716812408537000,68432.9021502937,undefined,undefined,undefined
1716812775415000,68415.17172729706,undefined,undefined,undefined
1716813128768000,68441.20358712379,undefined,undefined,undefined
1716813339682000,68527.3716323619,undefined,undefined,undefined
1716813647989000,68535.90147757043,undefined,undefined,undefined
1716813947165000,68526.77637039535,undefined,undefined,undefined
1716814253348000,68555.55533779468,undefined,undefined,undefined
1716814549627000,68550.56001054523,undefined,undefined,undefined
1716814899310000,68583.82740051909,undefined,undefined,undefined
1716815126788000,68586.44760657968,undefined,undefined,undefined
1716815487638000,68735.18363600606,undefined,undefined,undefined
1716815770015000,68780.41976881286,undefined,undefined,undefined
1716816109419000,68890.24056537867,undefined,undefined,undefined
1716816374318000,68778.74378611354,undefined,undefined,undefined
1716816619063000,68789.5107588127,undefined,undefined,undefined
1716816971533000,68649.01928306451,undefined,undefined,undefined
1716817246997000,68825.51891261317,undefined,undefined,undefined
1716817575530000,68859.0993985636,undefined,undefined,undefined
1716817864244000,68914.62976846767,undefined,undefined,undefined
1716818113222000,68957.89077523293,undefined,undefined,undefined
1716818445629000,68881.99424982004,undefined,undefined,undefined
1716818775205000,68937.06275918843,undefined,undefined,undefined
1716819126903000,68872.89913864352,undefined,undefined,undefined
1716819391389000,68962.2002774586,undefined,undefined,undefined
1716819642792000,68966.57613825082,undefined,undefined,undefined
1716819991099000,69089.73059184659,undefined,undefined,undefined
1716820219692000,69021.38886054438,undefined,undefined,undefined
1716820579466000,69141.30585069163,undefined,undefined,undefined
1716820838929000,69140.41269941592,undefined,undefined,undefined
1716821133073000,69064.56250546752,undefined,undefined,undefined
1716821457841000,69059.35922548875,undefined,undefined,undefined
1716821717360000,69281.30081190568,undefined,undefined,undefined
1716822067029000,69451.69960811557,undefined,undefined,undefined
1716822306807000,69730.37404624786,undefined,undefined,undefined
1716822619047000,69729.08701028198,undefined,undefined,undefined
1716823016950000,69851.13257524559,undefined,undefined,undefined
1716823216542000,69904.18936285558,undefined,undefined,undefined
1716823569788000,69759.22124138687,undefined,undefined,undefined
1716823824619000,69690.97008339559,undefined,undefined,undefined
1716824188607000,70031.46232691592,undefined,undefined,undefined
1716824439448000,70330.11423832427,undefined,undefined,undefined
1716824691498000,70293.19194768138,undefined,undefined,undefined
1716825090660000,70200.15342376148,undefined,undefined,undefined
1716825374639000,70244.89179125268,undefined,undefined,undefined
1716825775491000,70355.87864250009,undefined,undefined,undefined
1716825901600000,70425.80646846993,undefined,undefined,undefined
1716826267979000,70601.84421378822,undefined,undefined,undefined
1716826586723000,70524.2780163547,undefined,undefined,undefined
1716826834848000,70554.51962887039,undefined,undefined,undefined
1716827206098000,70295.38975718892,undefined,undefined,undefined
1716827417300000,70449.16857090792,undefined,undefined,undefined
1716827705504000,70383.51396521597,undefined,undefined,undefined
1716828036694000,70221.23533696622,undefined,undefined,undefined
1716828317989000,70300.76671523499,undefined,undefined,undefined
1716828660289000,70132.07312485737,undefined,undefined,undefined
1716828960302000,70221.661518549,undefined,undefined,undefined
1716829241467000,70078.54099320866,undefined,undefined,undefined
