Date,Open,High,Low,Close
2023-12-15 00:00:00,72.52,73.22,72.52,72.96
2023-12-19 00:00:00,70.9,72.16,70.8,70.8
2023-12-23 00:00:00,70.44,73.74,69.83,73.74
2023-12-27 00:00:00,72.53,73.11,71.12,73.11
2023-12-31 00:00:00,75.75,76.43,73.29,73.33
2024-01-03 00:00:00,72.86,75.04,72.86,73.01
2024-01-07 00:00:00,65.27,66.48,65.27,65.79
2024-01-11 00:00:00,64.15,69.95,64.15,69.95
2024-01-15 00:00:00,71.88,73.09,69.73,69.73
2024-01-19 00:00:00,69.44,69.55,67.92,67.92
2024-01-23 00:00:00,71.14,71.57,67.13,67.13
2024-01-27 00:00:00,65.51,67.03,65.51,67.03
2024-01-31 00:00:00,68.08,68.47,67.48,67.48
2024-02-03 00:00:00,66.72,68,66.72,68
2024-02-07 00:00:00,68.77,68.77,66.9,68.33
2024-02-11 00:00:00,68.55,70.75,68.55,70.75
2024-02-15 00:00:00,71.51,72.93,69.08,69.88
2024-02-19 00:00:00,69.8,70.74,69.8,70.74
2024-02-23 00:00:00,71.33,71.33,68.81,68.81
2024-02-27 00:00:00,68.77,71.96,68.77,71.96
2024-02-29 00:00:00,74.03,74.75,74.03,74.75
2024-03-03 00:00:00,80.01,94.33,80.01,94.33
2024-03-07 00:00:00,90.68,90.68,82.42,85.74
2024-03-11 00:00:00,88.19,90.95,87.52,87.52
