Date,Open,High,Low,Close
2024-03-10 16:30:00,1.002,1.004,1.002,1.003
2024-03-10 17:00:00,1.002,1.003,1.001,1.001
2024-03-10 17:30:00,1.001,1.002,1.001,1.001
2024-03-10 18:00:00,1.002,1.002,1.002,1.002
2024-03-10 18:30:00,1.002,1.002,1.001,1.001
2024-03-10 19:00:00,1.002,1.002,1.001,1.002
2024-03-10 19:30:00,1.002,1.003,1.002,1.002
2024-03-10 20:00:00,1.002,1.002,1.002,1.002
2024-03-10 20:30:00,1.002,1.002,1.001,1.001
2024-03-10 21:00:00,1.002,1.002,1.002,1.002
2024-03-10 21:30:00,1.002,1.002,1.002,1.002
2024-03-10 22:00:00,1.001,1.003,1.001,1.002
2024-03-10 22:30:00,1,1.001,0.999178,0.999178
2024-03-10 23:00:00,1.001,1.002,1.001,1.001
2024-03-10 23:30:00,1,1.002,1,1.002
2024-03-11 00:00:00,1.002,1.003,1.001,1.002
2024-03-11 00:30:00,1.001,1.001,1,1
2024-03-11 01:00:00,1,1.001,0.996962,0.996962
2024-03-11 01:30:00,1.002,1.004,1,1
2024-03-11 02:00:00,0.99886,1.003,0.998094,1.003
2024-03-11 02:30:00,1.003,1.003,1.001,1.001
2024-03-11 03:00:00,1,1.002,1,1.002
2024-03-11 03:30:00,0.999863,1.002,0.999863,1.001
2024-03-11 04:00:00,1,1,0.999675,1
2024-03-11 04:30:00,1.001,1.001,1,1
2024-03-11 05:00:00,1.001,1.001,0.999925,0.999947
2024-03-11 05:30:00,1.001,1.002,0.999981,0.999981
2024-03-11 06:00:00,0.999855,1.001,0.99981,1.001
2024-03-11 06:30:00,0.999782,1.002,0.999782,1.002
2024-03-11 07:00:00,1.001,1.001,1,1.001
2024-03-11 07:30:00,1.003,1.005,1.001,1.001
2024-03-11 08:00:00,1.002,1.003,1,1.001
2024-03-11 08:30:00,1.001,1.002,0.998372,1.002
2024-03-11 09:00:00,0.999152,0.999489,0.998563,0.998831
2024-03-11 09:30:00,0.999583,1.001,0.999583,1
2024-03-11 10:00:00,1.001,1.001,0.999385,1
2024-03-11 10:30:00,1.001,1.001,1,1.001
2024-03-11 11:00:00,0.999735,1,0.999267,1
2024-03-11 11:30:00,0.998367,1.001,0.998367,1
2024-03-11 12:00:00,0.999018,1.002,0.999018,1
2024-03-11 12:30:00,0.997822,1.001,0.997822,1.001
2024-03-11 13:00:00,1.005,1.005,1,1.001
2024-03-11 13:30:00,1,1.001,1,1.001
2024-03-11 14:00:00,1,1,0.997031,0.997765
2024-03-11 14:30:00,0.999043,1.003,0.999043,1.002
2024-03-11 15:00:00,1,1,0.999251,1
2024-03-11 15:30:00,1.001,1.002,1,1
2024-03-11 16:00:00,1.001,1.001,0.99846,0.999954
2024-03-11 16:30:00,0.999791,0.999791,0.999791,0.999791
